,Country,Region,Var,Year,Value
647,Costa Rica,Latin America and Caribbean,Generosity,2021,-0.126
648,Croatia,Central and Eastern Europe,Generosity,2021,-0.118
649,Cyprus,Western Europe,Generosity,2021,-0.015
650,Czech Republic,Central and Eastern Europe,Generosity,2021,-0.208
651,Denmark,Western Europe,Generosity,2021,0.03
652,Dominican Republic,Latin America and Caribbean,Generosity,2021,-0.133
653,Ecuador,Latin America and Caribbean,Generosity,2021,-0.124
654,Egypt,Middle East and North Africa,Generosity,2021,-0.182
655,El Salvador,Latin America and Caribbean,Generosity,2021,-0.11
656,Estonia,Central and Eastern Europe,Generosity,2021,-0.106
657,Ethiopia,Sub-Saharan Africa,Generosity,2021,0.082
658,Finland,Western Europe,Generosity,2021,-0.098
659,France,Western Europe,Generosity,2021,-0.147
660,Gabon,Sub-Saharan Africa,Generosity,2021,-0.2
661,Gambia,Sub-Saharan Africa,Generosity,2021,0.424
662,Georgia,Commonwealth of Independent States,Generosity,2021,-0.238
663,Germany,Western Europe,Generosity,2021,0.011
664,Ghana,Sub-Saharan Africa,Generosity,2021,0.123
665,Greece,Western Europe,Generosity,2021,-0.288
666,Guatemala,Latin America and Caribbean,Generosity,2021,-0.038
667,Guinea,Sub-Saharan Africa,Generosity,2021,0.095
668,Haiti,Latin America and Caribbean,Generosity,2021,0.422
669,Honduras,Latin America and Caribbean,Generosity,2021,0.081
670,Hong Kong S.A.R. of China,East Asia,Generosity,2021,0.067
671,Hungary,Central and Eastern Europe,Generosity,2021,-0.186
672,Iceland,Western Europe,Generosity,2021,0.16
673,India,South Asia,Generosity,2021,0.089
674,Indonesia,Southeast Asia,Generosity,2021,0.542
675,Iran,Middle East and North Africa,Generosity,2021,0.218
676,Iraq,Middle East and North Africa,Generosity,2021,-0.053
677,Ireland,Western Europe,Generosity,2021,0.077
678,Israel,Middle East and North Africa,Generosity,2021,0.031
679,Italy,Western Europe,Generosity,2021,-0.084
680,Ivory Coast,Sub-Saharan Africa,Generosity,2021,-0.016
681,Jamaica,Latin America and Caribbean,Generosity,2021,-0.137
682,Japan,East Asia,Generosity,2021,-0.258
683,Jordan,Middle East and North Africa,Generosity,2021,-0.167
684,Kazakhstan,Commonwealth of Independent States,Generosity,2021,-0.069
685,Kenya,Sub-Saharan Africa,Generosity,2021,0.287
686,Kosovo,Central and Eastern Europe,Generosity,2021,0.257
687,Kuwait,Middle East and North Africa,Generosity,2021,-0.104
688,Kyrgyzstan,Commonwealth of Independent States,Generosity,2021,0.119
689,Laos,Southeast Asia,Generosity,2021,0.123
690,Latvia,Central and Eastern Europe,Generosity,2021,-0.162
691,Lebanon,Middle East and North Africa,Generosity,2021,-0.073
692,Lesotho,Sub-Saharan Africa,Generosity,2021,-0.131
693,Liberia,Sub-Saharan Africa,Generosity,2021,0.05
694,Libya,Middle East and North Africa,Generosity,2021,-0.087
695,Lithuania,Central and Eastern Europe,Generosity,2021,-0.203
696,Luxembourg,Western Europe,Generosity,2021,-0.034
697,Macedonia,Central and Eastern Europe,Generosity,2021,
698,Madagascar,Sub-Saharan Africa,Generosity,2021,-0.005
699,Malawi,Sub-Saharan Africa,Generosity,2021,0.038
700,Malaysia,Southeast Asia,Generosity,2021,0.125
701,Maldives,South Asia,Generosity,2021,0.024
702,Mali,Sub-Saharan Africa,Generosity,2021,-0.036
703,Malta,Western Europe,Generosity,2021,0.133
704,Mauritania,Sub-Saharan Africa,Generosity,2021,-0.106
705,Mauritius,Sub-Saharan Africa,Generosity,2021,-0.054
706,Mexico,Latin America and Caribbean,Generosity,2021,-0.147
707,Moldova,Commonwealth of Independent States,Generosity,2021,-0.079
708,Mongolia,East Asia,Generosity,2021,0.116
709,Montenegro,Central and Eastern Europe,Generosity,2021,-0.034
710,Morocco,Middle East and North Africa,Generosity,2021,-0.236
711,Mozambique,Sub-Saharan Africa,Generosity,2021,0.061
712,Myanmar,Southeast Asia,Generosity,2021,0.509
713,Namibia,Sub-Saharan Africa,Generosity,2021,-0.149
714,Nepal,South Asia,Generosity,2021,0.152
715,Netherlands,Western Europe,Generosity,2021,0.175
716,New Zealand,North America and ANZ,Generosity,2021,0.134
717,Nicaragua,Latin America and Caribbean,Generosity,2021,0.02
718,Niger,Sub-Saharan Africa,Generosity,2021,0.018
719,Nigeria,Sub-Saharan Africa,Generosity,2021,0.037
720,North Cyprus,Western Europe,Generosity,2021,0.012
721,North Macedonia,Central and Eastern Europe,Generosity,2021,0.038
722,Norway,Western Europe,Generosity,2021,0.093
723,Pakistan,South Asia,Generosity,2021,0.098
724,Palestinian Territories,Middle East and North Africa,Generosity,2021,-0.163
725,Panama,Latin America and Caribbean,Generosity,2021,-0.166
726,Paraguay,Latin America and Caribbean,Generosity,2021,0.028
727,Peru,Latin America and Caribbean,Generosity,2021,-0.154
728,Philippines,Southeast Asia,Generosity,2021,-0.097
729,Poland,Central and Eastern Europe,Generosity,2021,-0.165
730,Portugal,Western Europe,Generosity,2021,-0.244
731,Romania,Central and Eastern Europe,Generosity,2021,-0.219
732,Russia,Commonwealth of Independent States,Generosity,2021,-0.111
733,Rwanda,Sub-Saharan Africa,Generosity,2021,0.061
734,Saudi Arabia,Middle East and North Africa,Generosity,2021,-0.149
735,Senegal,Sub-Saharan Africa,Generosity,2021,-0.046
736,Serbia,Central and Eastern Europe,Generosity,2021,0.002
737,Sierra Leone,Sub-Saharan Africa,Generosity,2021,0.084
738,Singapore,Southeast Asia,Generosity,2021,-0.018
739,Slovakia,Central and Eastern Europe,Generosity,2021,-0.124
740,Slovenia,Central and Eastern Europe,Generosity,2021,-0.101
741,South Africa,Sub-Saharan Africa,Generosity,2021,-0.067
742,South Korea,East Asia,Generosity,2021,-0.083
743,South Sudan,Sub-Saharan Africa,Generosity,2021,
744,Spain,Western Europe,Generosity,2021,-0.081
745,Sri Lanka,South Asia,Generosity,2021,0.079
746,Swaziland,Sub-Saharan Africa,Generosity,2021,-0.185
747,Sweden,Western Europe,Generosity,2021,0.086
748,Switzerland,Western Europe,Generosity,2021,0.025
749,Taiwan Province of China,East Asia,Generosity,2021,-0.07
750,Tajikistan,Commonwealth of Independent States,Generosity,2021,-0.056
751,Tanzania,Sub-Saharan Africa,Generosity,2021,0.183
752,Thailand,Southeast Asia,Generosity,2021,0.287
753,Togo,Sub-Saharan Africa,Generosity,2021,0.032
754,Trinidad and Tobago,Latin America and Caribbean,Generosity,2021,
755,Tunisia,Middle East and North Africa,Generosity,2021,-0.201
756,Turkey,Middle East and North Africa,Generosity,2021,-0.139
757,Turkmenistan,Commonwealth of Independent States,Generosity,2021,0.273
758,Uganda,Sub-Saharan Africa,Generosity,2021,0.122
759,Ukraine,Commonwealth of Independent States,Generosity,2021,-0.011
760,United Arab Emirates,Middle East and North Africa,Generosity,2021,0.074
761,United Kingdom,Western Europe,Generosity,2021,0.233
762,United States,North America and ANZ,Generosity,2021,0.098
763,Uruguay,Latin America and Caribbean,Generosity,2021,-0.092
764,Uzbekistan,Commonwealth of Independent States,Generosity,2021,0.311
765,Venezuela,Latin America and Caribbean,Generosity,2021,-0.169
766,Vietnam,Southeast Asia,Generosity,2021,-0.098
767,Yemen,Middle East and North Africa,Generosity,2021,-0.147
768,Zambia,Sub-Saharan Africa,Generosity,2021,0.061
769,Zimbabwe,Sub-Saharan Africa,Generosity,2021,-0.047
770,Afghanistan,South Asia,Generosity,% Change,5.776868880237765
771,Albania,Central and Eastern Europe,Generosity,% Change,-29.093920278734636
772,Algeria,Middle East and North Africa,Generosity,% Change,-44.67618242934711
773,Argentina,Latin America and Caribbean,Generosity,% Change,-6.625420960306855
774,Armenia,Commonwealth of Independent States,Generosity,% Change,21.055247236968032
775,Australia,North America and ANZ,Generosity,% Change,-16.51797415270469
776,Austria,Western Europe,Generosity,% Change,-50.83649422485077
777,Azerbaijan,Commonwealth of Independent States,Generosity,% Change,-7.182061067785638
778,Bahrain,Middle East and North Africa,Generosity,% Change,-33.44758911648235
779,Bangladesh,South Asia,Generosity,% Change,21.789198581328133
780,Belarus,Commonwealth of Independent States,Generosity,% Change,9.139496671924432
781,Belgium,Western Europe,Generosity,% Change,94.43089182057068
782,Benin,Sub-Saharan Africa,Generosity,% Change,861.2087256266445
783,Bolivia,Latin America and Caribbean,Generosity,% Change,-16.013251581868595
784,Bosnia and Herzegovina,Central and Eastern Europe,Generosity,% Change,14.983980747245079
785,Botswana,Sub-Saharan Africa,Generosity,% Change,-1.7550278152483167
786,Brazil,Latin America and Caribbean,Generosity,% Change,-30.26389164886727
787,Bulgaria,Central and Eastern Europe,Generosity,% Change,-33.29091793858013
788,Burkina Faso,Sub-Saharan Africa,Generosity,% Change,-52.83146430631122
789,Burundi,Sub-Saharan Africa,Generosity,% Change,36.73969382957005
790,Cambodia,Southeast Asia,Generosity,% Change,-34.503510313260264
791,Cameroon,Sub-Saharan Africa,Generosity,% Change,-1837.4452871796584
792,Canada,North America and ANZ,Generosity,% Change,-28.66918956529947
793,Central African Republic,Sub-Saharan Africa,Generosity,% Change,
794,Chad,Sub-Saharan Africa,Generosity,% Change,129.8886794908291
795,Chile,Latin America and Caribbean,Generosity,% Change,-32.99665880225102
796,China,East Asia,Generosity,% Change,-19.526307594153536
797,Colombia,Latin America and Caribbean,Generosity,% Change,-16.271615994093615
798,Comoros,Sub-Saharan Africa,Generosity,% Change,-8.897399896240799
799,Congo (Brazzaville),Sub-Saharan Africa,Generosity,% Change,-45.01677978723029
800,Congo (Kinshasa),Sub-Saharan Africa,Generosity,% Change,
801,Costa Rica,Latin America and Caribbean,Generosity,% Change,23.01118493843242
802,Croatia,Central and Eastern Europe,Generosity,% Change,-8.198585908132857
803,Cyprus,Western Europe,Generosity,% Change,-134.3002215154039
804,Czech Republic,Central and Eastern Europe,Generosity,% Change,-9.902696428202857
805,Denmark,Western Europe,Generosity,% Change,-54.683995184660915
806,Dominican Republic,Latin America and Caribbean,Generosity,% Change,1.3230767360189355
807,Ecuador,Latin America and Caribbean,Generosity,% Change,-2.3737084838782643
808,Egypt,Middle East and North Africa,Generosity,% Change,-7.557111648162532
809,El Salvador,Latin America and Caribbean,Generosity,% Change,-9.145705493425623
810,Estonia,Central and Eastern Europe,Generosity,% Change,-5.101060611137893
811,Ethiopia,Sub-Saharan Africa,Generosity,% Change,89.03882792975836
812,Finland,Western Europe,Generosity,% Change,64.75567179385759
813,France,Western Europe,Generosity,% Change,12.521269677453642
814,Gabon,Sub-Saharan Africa,Generosity,% Change,-10.015954486213746
815,Gambia,Sub-Saharan Africa,Generosity,% Change,23.543585391666834
816,Georgia,Commonwealth of Independent States,Generosity,% Change,3.966283122816889
817,Germany,Western Europe,Generosity,% Change,-86.28076298813264
818,Ghana,Sub-Saharan Africa,Generosity,% Change,30.613662382350938
819,Greece,Western Europe,Generosity,% Change,-4.289483794071075
820,Guatemala,Latin America and Caribbean,Generosity,% Change,-11.501673375266794
821,Guinea,Sub-Saharan Africa,Generosity,% Change,24.462076542840755
822,Haiti,Latin America and Caribbean,Generosity,% Change,5.359195337371256
823,Honduras,Latin America and Caribbean,Generosity,% Change,-6.8634882624711055
824,Hong Kong S.A.R. of China,East Asia,Generosity,% Change,-50.36298144055578
825,Hungary,Central and Eastern Europe,Generosity,% Change,-4.2830839525145645
826,Iceland,Western Europe,Generosity,% Change,-35.20803983672118
827,India,South Asia,Generosity,% Change,54.64381385562353
828,Indonesia,Southeast Asia,Generosity,% Change,4.313717894412456
829,Iran,Middle East and North Africa,Generosity,% Change,84.91641392141356
830,Iraq,Middle East and North Africa,Generosity,% Change,-23.81199906389385
831,Ireland,Western Europe,Generosity,% Change,-47.18248534996481
832,Israel,Middle East and North Africa,Generosity,% Change,-69.7837255535719
833,Italy,Western Europe,Generosity,% Change,93.27673530928271
834,Ivory Coast,Sub-Saharan Africa,Generosity,% Change,-63.629053076031916
835,Jamaica,Latin America and Caribbean,Generosity,% Change,9.506466584657248
836,Japan,East Asia,Generosity,% Change,4.491367431504463
837,Jordan,Middle East and North Africa,Generosity,% Change,2.728011865663611
838,Kazakhstan,Commonwealth of Independent States,Generosity,% Change,0.746642125368683
839,Kenya,Sub-Saharan Africa,Generosity,% Change,-2.606718950705567
840,Kosovo,Central and Eastern Europe,Generosity,% Change,34.6016517015817
841,Kuwait,Middle East and North Africa,Generosity,% Change,3.8082650962845057
842,Kyrgyzstan,Commonwealth of Independent States,Generosity,% Change,-23.112736538012566
843,Laos,Southeast Asia,Generosity,% Change,10.441200925048319
844,Latvia,Central and Eastern Europe,Generosity,% Change,-13.317458371137441
845,Lebanon,Middle East and North Africa,Generosity,% Change,19.251291385303034
846,Lesotho,Sub-Saharan Africa,Generosity,% Change,-10.108994902253652
847,Liberia,Sub-Saharan Africa,Generosity,% Change,18.27819125205036
848,Libya,Middle East and North Africa,Generosity,% Change,2.287372563895419
849,Lithuania,Central and Eastern Europe,Generosity,% Change,-7.6119119211472
850,Luxembourg,Western Europe,Generosity,% Change,635.8370839382346
851,Macedonia,Central and Eastern Europe,Generosity,% Change,
852,Madagascar,Sub-Saharan Africa,Generosity,% Change,-57.71183474055661
853,Malawi,Sub-Saharan Africa,Generosity,% Change,77.29438412106705
854,Malaysia,Southeast Asia,Generosity,% Change,8.954492994343767
855,Maldives,South Asia,Generosity,% Change,-36.983888198074766
856,Mali,Sub-Saharan Africa,Generosity,% Change,-18.85847579343226
857,Malta,Western Europe,Generosity,% Change,-38.12969462747808
858,Mauritania,Sub-Saharan Africa,Generosity,% Change,-0.007680542122889624
859,Mauritius,Sub-Saharan Africa,Generosity,% Change,194.78278684698859
860,Mexico,Latin America and Caribbean,Generosity,% Change,-16.12778435287135
861,Moldova,Commonwealth of Independent States,Generosity,% Change,109.32121132118277
862,Mongolia,East Asia,Generosity,% Change,18.25408004355665
863,Montenegro,Central and Eastern Europe,Generosity,% Change,-55.026666805643075
864,Morocco,Middle East and North Africa,Generosity,% Change,-1.820990569877024
865,Mozambique,Sub-Saharan Africa,Generosity,% Change,88.4119369401926
866,Myanmar,Southeast Asia,Generosity,% Change,-9.21478785588084
867,Namibia,Sub-Saharan Africa,Generosity,% Change,-19.5926574820975
868,Nepal,South Asia,Generosity,% Change,-1.4067882684637962
869,Netherlands,Western Europe,Generosity,% Change,-15.708326533805018
870,New Zealand,North America and ANZ,Generosity,% Change,-30.061927084204026
871,Nicaragua,Latin America and Caribbean,Generosity,% Change,-4.576241936632805
872,Niger,Sub-Saharan Africa,Generosity,% Change,29.86247491760406
873,Nigeria,Sub-Saharan Africa,Generosity,% Change,9.64325138231246
874,North Cyprus,Western Europe,Generosity,% Change,5182.643434774762
875,North Macedonia,Central and Eastern Europe,Generosity,% Change,
876,Norway,Western Europe,Generosity,% Change,-30.871789245478954
877,Pakistan,South Asia,Generosity,% Change,118.26343817921968
878,Palestinian Territories,Middle East and North Africa,Generosity,% Change,0.5681818462264869
879,Panama,Latin America and Caribbean,Generosity,% Change,7.842828095270756
880,Paraguay,Latin America and Caribbean,Generosity,% Change,250.10008486175988
881,Peru,Latin America and Caribbean,Generosity,% Change,-5.165534790639372
882,Philippines,Southeast Asia,Generosity,% Change,-8.024620500576283
883,Poland,Central and Eastern Europe,Generosity,% Change,-19.54518983583079
884,Portugal,Western Europe,Generosity,% Change,10.550154156073463
885,Romania,Central and Eastern Europe,Generosity,% Change,10.7093837728656
886,Russia,Commonwealth of Independent States,Generosity,% Change,-26.564835380887658
887,Rwanda,Sub-Saharan Africa,Generosity,% Change,9.941699899098744
888,Saudi Arabia,Middle East and North Africa,Generosity,% Change,-11.67494873086446
889,Senegal,Sub-Saharan Africa,Generosity,% Change,-12.104968679369899
890,Serbia,Central and Eastern Europe,Generosity,% Change,-102.71458005426202
891,Sierra Leone,Sub-Saharan Africa,Generosity,% Change,-5.256832541688367
892,Singapore,Southeast Asia,Generosity,% Change,-160.24252838694872
893,Slovakia,Central and Eastern Europe,Generosity,% Change,-0.328997100803627
894,Slovenia,Central and Eastern Europe,Generosity,% Change,25.304914311102806
895,South Africa,Sub-Saharan Africa,Generosity,% Change,-38.96735905131008
896,South Korea,East Asia,Generosity,% Change,91.22647407503524
897,South Sudan,Sub-Saharan Africa,Generosity,% Change,
898,Spain,Western Europe,Generosity,% Change,58.942848743274226
899,Sri Lanka,South Asia,Generosity,% Change,-2.624957509352503
900,Swaziland,Sub-Saharan Africa,Generosity,% Change,-7.129176087198571
901,Sweden,Western Europe,Generosity,% Change,-22.949163416958044
902,Switzerland,Western Europe,Generosity,% Change,-76.39528397035174
903,Taiwan Province of China,East Asia,Generosity,% Change,-4.3698837375495385
904,Tajikistan,Commonwealth of Independent States,Generosity,% Change,123.20973931055535
905,Tanzania,Sub-Saharan Africa,Generosity,% Change,66.86622682005849
906,Thailand,Southeast Asia,Generosity,% Change,6.8164560404951375
907,Togo,Sub-Saharan Africa,Generosity,% Change,1099.4564962751253
908,Trinidad and Tobago,Latin America and Caribbean,Generosity,% Change,
909,Tunisia,Middle East and North Africa,Generosity,% Change,-7.122378617508843
910,Turkey,Middle East and North Africa,Generosity,% Change,-18.73551811392316
911,Turkmenistan,Commonwealth of Independent States,Generosity,% Change,45.46691367836687
912,Uganda,Sub-Saharan Africa,Generosity,% Change,22.62855596301406
913,Ukraine,Commonwealth of Independent States,Generosity,% Change,-64.44008357744138
914,United Arab Emirates,Middle East and North Africa,Generosity,% Change,-40.05711342032532
915,United Kingdom,Western Europe,Generosity,% Change,-11.652903535098346
916,United States,North America and ANZ,Generosity,% Change,-34.61947674846432
917,Uruguay,Latin America and Caribbean,Generosity,% Change,-9.00379011083259
918,Uzbekistan,Commonwealth of Independent States,Generosity,% Change,25.187603788221967
919,Venezuela,Latin America and Caribbean,Generosity,% Change,-0.05352695460866383
920,Vietnam,Southeast Asia,Generosity,% Change,3.6671382745717733
921,Yemen,Middle East and North Africa,Generosity,% Change,-6.805976643029184
922,Zambia,Sub-Saharan Africa,Generosity,% Change,-21.832079724922732
923,Zimbabwe,Sub-Saharan Africa,Generosity,% Change,-34.780152845625885
924,Afghanistan,South Asia,Happiness score,2020,2.566900015
925,Albania,Central and Eastern Europe,Happiness score,2020,4.882699966
926,Algeria,Middle East and North Africa,Happiness score,2020,5.005099773
927,Argentina,Latin America and Caribbean,Happiness score,2020,5.974699974
928,Armenia,Commonwealth of Independent States,Happiness score,2020,4.676799774
929,Australia,North America and ANZ,Happiness score,2020,7.222799778
930,Austria,Western Europe,Happiness score,2020,7.294199944
931,Azerbaijan,Commonwealth of Independent States,Happiness score,2020,5.164800167
932,Bahrain,Middle East and North Africa,Happiness score,2020,6.227300167
933,Bangladesh,South Asia,Happiness score,2020,4.832799911
934,Belarus,Commonwealth of Independent States,Happiness score,2020,5.539899826
935,Belgium,Western Europe,Happiness score,2020,6.863500118
936,Benin,Sub-Saharan Africa,Happiness score,2020,5.21600008
937,Bolivia,Latin America and Caribbean,Happiness score,2020,5.747499943
938,Bosnia and Herzegovina,Central and Eastern Europe,Happiness score,2020,5.674099922
939,Botswana,Sub-Saharan Africa,Happiness score,2020,3.478899956
940,Brazil,Latin America and Caribbean,Happiness score,2020,6.375599861
941,Bulgaria,Central and Eastern Europe,Happiness score,2020,5.101500034
942,Burkina Faso,Sub-Saharan Africa,Happiness score,2020,4.768700123
943,Burundi,Sub-Saharan Africa,Happiness score,2020,3.775300026
944,Cambodia,Southeast Asia,Happiness score,2020,4.848400116
945,Cameroon,Sub-Saharan Africa,Happiness score,2020,5.084899902
946,Canada,North America and ANZ,Happiness score,2020,7.23210001
947,Central African Republic,Sub-Saharan Africa,Happiness score,2020,3.475899935
948,Chad,Sub-Saharan Africa,Happiness score,2020,4.422699928
949,Chile,Latin America and Caribbean,Happiness score,2020,6.228499889
950,China,East Asia,Happiness score,2020,5.123899937
951,Colombia,Latin America and Caribbean,Happiness score,2020,6.163400173
952,Comoros,Sub-Saharan Africa,Happiness score,2020,4.288599968
953,Congo (Brazzaville),Sub-Saharan Africa,Happiness score,2020,5.194399834
954,Congo (Kinshasa),Sub-Saharan Africa,Happiness score,2020,4.31099987
955,Costa Rica,Latin America and Caribbean,Happiness score,2020,7.121399879
956,Croatia,Central and Eastern Europe,Happiness score,2020,5.504700184
957,Cyprus,Western Europe,Happiness score,2020,6.15899992
958,Czech Republic,Central and Eastern Europe,Happiness score,2020,6.910900116
959,Denmark,Western Europe,Happiness score,2020,7.645599842
960,Dominican Republic,Latin America and Caribbean,Happiness score,2020,5.689199924
961,Ecuador,Latin America and Caribbean,Happiness score,2020,5.925199986
962,Egypt,Middle East and North Africa,Happiness score,2020,4.151400089
963,El Salvador,Latin America and Caribbean,Happiness score,2020,6.34829998
964,Estonia,Central and Eastern Europe,Happiness score,2020,6.021800041
965,Ethiopia,Sub-Saharan Africa,Happiness score,2020,4.186200142
966,Finland,Western Europe,Happiness score,2020,7.808700085
967,France,Western Europe,Happiness score,2020,6.663799763
968,Gabon,Sub-Saharan Africa,Happiness score,2020,4.829299927
969,Gambia,Sub-Saharan Africa,Happiness score,2020,4.750599861
970,Georgia,Commonwealth of Independent States,Happiness score,2020,4.672599792
971,Germany,Western Europe,Happiness score,2020,7.075799942
972,Ghana,Sub-Saharan Africa,Happiness score,2020,5.147999763
973,Greece,Western Europe,Happiness score,2020,5.514999866
974,Guatemala,Latin America and Caribbean,Happiness score,2020,6.398900032
975,Guinea,Sub-Saharan Africa,Happiness score,2020,4.949299812
976,Haiti,Latin America and Caribbean,Happiness score,2020,3.720799923
977,Honduras,Latin America and Caribbean,Happiness score,2020,5.953199863
978,Hong Kong S.A.R. of China,East Asia,Happiness score,2020,5.510399818
979,Hungary,Central and Eastern Europe,Happiness score,2020,6.000400066
980,Iceland,Western Europe,Happiness score,2020,7.504499912
981,India,South Asia,Happiness score,2020,3.573299885
982,Indonesia,Southeast Asia,Happiness score,2020,5.285600185
983,Iran,Middle East and North Africa,Happiness score,2020,4.672399998
984,Iraq,Middle East and North Africa,Happiness score,2020,4.784800053
985,Ireland,Western Europe,Happiness score,2020,7.093699932
986,Israel,Middle East and North Africa,Happiness score,2020,7.128600121
987,Italy,Western Europe,Happiness score,2020,6.38740015
988,Ivory Coast,Sub-Saharan Africa,Happiness score,2020,5.233300209
989,Jamaica,Latin America and Caribbean,Happiness score,2020,5.889800072
990,Japan,East Asia,Happiness score,2020,5.870800018
991,Jordan,Middle East and North Africa,Happiness score,2020,4.633399963
992,Kazakhstan,Commonwealth of Independent States,Happiness score,2020,6.057899952
993,Kenya,Sub-Saharan Africa,Happiness score,2020,4.583000183
994,Kosovo,Central and Eastern Europe,Happiness score,2020,6.325200081
995,Kuwait,Middle East and North Africa,Happiness score,2020,6.102099895
996,Kyrgyzstan,Commonwealth of Independent States,Happiness score,2020,5.541500092
997,Laos,Southeast Asia,Happiness score,2020,4.888599873
998,Latvia,Central and Eastern Europe,Happiness score,2020,5.949999809
999,Lebanon,Middle East and North Africa,Happiness score,2020,4.771500111
1000,Lesotho,Sub-Saharan Africa,Happiness score,2020,3.652800083
1001,Liberia,Sub-Saharan Africa,Happiness score,2020,4.557899952
1002,Libya,Middle East and North Africa,Happiness score,2020,5.488800049
1003,Lithuania,Central and Eastern Europe,Happiness score,2020,6.215499878
1004,Luxembourg,Western Europe,Happiness score,2020,7.237500191
1005,Macedonia,Central and Eastern Europe,Happiness score,2020,5.159800053
1006,Madagascar,Sub-Saharan Africa,Happiness score,2020,4.165599823
1007,Malawi,Sub-Saharan Africa,Happiness score,2020,3.538000107
1008,Malaysia,Southeast Asia,Happiness score,2020,5.384300232
1009,Maldives,South Asia,Happiness score,2020,5.197599888
1010,Mali,Sub-Saharan Africa,Happiness score,2020,4.729300022
1011,Malta,Western Europe,Happiness score,2020,6.772799969
1012,Mauritania,Sub-Saharan Africa,Happiness score,2020,4.374599934
1013,Mauritius,Sub-Saharan Africa,Happiness score,2020,6.101299763
1014,Mexico,Latin America and Caribbean,Happiness score,2020,6.465000153
1015,Moldova,Commonwealth of Independent States,Happiness score,2020,5.607500076
1016,Mongolia,East Asia,Happiness score,2020,5.456200123
1017,Montenegro,Central and Eastern Europe,Happiness score,2020,5.54610014
1018,Morocco,Middle East and North Africa,Happiness score,2020,5.094799995
1019,Mozambique,Sub-Saharan Africa,Happiness score,2020,4.623600006
1020,Myanmar,Southeast Asia,Happiness score,2020,4.308000088
1021,Namibia,Sub-Saharan Africa,Happiness score,2020,4.571100235
1022,Nepal,South Asia,Happiness score,2020,5.137199879
1023,Netherlands,Western Europe,Happiness score,2020,7.448900223
1024,New Zealand,North America and ANZ,Happiness score,2020,7.299600124
1025,Nicaragua,Latin America and Caribbean,Happiness score,2020,6.13710022
1026,Niger,Sub-Saharan Africa,Happiness score,2020,4.909599781
1027,Nigeria,Sub-Saharan Africa,Happiness score,2020,4.724100113
1028,North Cyprus,Western Europe,Happiness score,2020,5.53550005
1029,North Macedonia,Central and Eastern Europe,Happiness score,2020,
1030,Norway,Western Europe,Happiness score,2020,7.487999916
1031,Pakistan,South Asia,Happiness score,2020,5.69329977
1032,Palestinian Territories,Middle East and North Africa,Happiness score,2020,4.552800179
1033,Panama,Latin America and Caribbean,Happiness score,2020,6.304800034
1034,Paraguay,Latin America and Caribbean,Happiness score,2020,5.692100048
1035,Peru,Latin America and Caribbean,Happiness score,2020,5.796800137
1036,Philippines,Southeast Asia,Happiness score,2020,6.006000042
1037,Poland,Central and Eastern Europe,Happiness score,2020,6.186299801
1038,Portugal,Western Europe,Happiness score,2020,5.910900116
1039,Romania,Central and Eastern Europe,Happiness score,2020,6.123700142
1040,Russia,Commonwealth of Independent States,Happiness score,2020,5.546000004
1041,Rwanda,Sub-Saharan Africa,Happiness score,2020,3.312299967
1042,Saudi Arabia,Middle East and North Africa,Happiness score,2020,6.406499863
1043,Senegal,Sub-Saharan Africa,Happiness score,2020,4.980800152
1044,Serbia,Central and Eastern Europe,Happiness score,2020,5.77820015
1045,Sierra Leone,Sub-Saharan Africa,Happiness score,2020,3.926399946
1046,Singapore,Southeast Asia,Happiness score,2020,6.377099991
1047,Slovakia,Central and Eastern Europe,Happiness score,2020,6.280600071
1048,Slovenia,Central and Eastern Europe,Happiness score,2020,6.363399982
1049,South Africa,Sub-Saharan Africa,Happiness score,2020,4.814099789
1050,South Korea,East Asia,Happiness score,2020,5.872399807
1051,South Sudan,Sub-Saharan Africa,Happiness score,2020,2.816600084
1052,Spain,Western Europe,Happiness score,2020,6.400899887
1053,Sri Lanka,South Asia,Happiness score,2020,4.327000141
1054,Swaziland,Sub-Saharan Africa,Happiness score,2020,4.308100224
1055,Sweden,Western Europe,Happiness score,2020,7.353499889
1056,Switzerland,Western Europe,Happiness score,2020,7.559899807
1057,Taiwan Province of China,East Asia,Happiness score,2020,6.45539999
1058,Tajikistan,Commonwealth of Independent States,Happiness score,2020,5.555699825
1059,Tanzania,Sub-Saharan Africa,Happiness score,2020,3.476200104
1060,Thailand,Southeast Asia,Happiness score,2020,5.998799801
1061,Togo,Sub-Saharan Africa,Happiness score,2020,4.187200069
1062,Trinidad and Tobago,Latin America and Caribbean,Happiness score,2020,6.191899776
1063,Tunisia,Middle East and North Africa,Happiness score,2020,4.392199993
1064,Turkey,Middle East and North Africa,Happiness score,2020,5.131800175
1065,Turkmenistan,Commonwealth of Independent States,Happiness score,2020,5.119100094
1066,Uganda,Sub-Saharan Africa,Happiness score,2020,4.43200016
1067,Ukraine,Commonwealth of Independent States,Happiness score,2020,4.56069994
1068,United Arab Emirates,Middle East and North Africa,Happiness score,2020,6.790800095
1069,United Kingdom,Western Europe,Happiness score,2020,7.164500237
1070,United States,North America and ANZ,Happiness score,2020,6.939599991
1071,Uruguay,Latin America and Caribbean,Happiness score,2020,6.440100193
1072,Uzbekistan,Commonwealth of Independent States,Happiness score,2020,6.257599831
